City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
358,manavalakurichi,20,IN,1615180559,66,8.1333,77.3,305.15,2.06
359,champerico,3,GT,1615180559,93,14.3,-91.9167,293.15,2.7
360,abu samrah,10,SY,1615180559,86,35.3029,37.1841,283.12,5.59
361,chernyshevskiy,98,RU,1615180560,97,63.0128,112.4714,263.99,3.14
362,monticello,8,US,1615180533,71,45.3055,-93.7941,281.15,3.6
363,jiaozuo,100,CN,1615180560,52,35.2397,113.2331,283.71,2.26
364,columbus,75,US,1615180097,68,39.9612,-82.9988,271.15,0.87
365,sabha,10,LY,1615180560,23,27.0377,14.4283,292.99,7.4
366,arinos,70,BR,1615180561,90,-15.9169,-46.1056,293.91,0.17
367,chipinge,3,ZW,1615180561,89,-20.1883,32.6236,290.66,0.32
368,dakar,18,SN,1615180395,77,14.6937,-17.4441,291.15,10.8
369,tres picos,0,MX,1615180561,58,15.8667,-93.5333,297.67,4.09
370,mount pleasant,75,US,1615180368,87,32.7941,-79.8626,277.04,3.56
371,terracina,100,IT,1615180561,85,41.2863,13.2217,284.82,0.89
372,lebowakgomo,0,ZA,1615180562,67,-24.2,29.5,291.15,4.63
373,batagay-alyta,100,RU,1615180562,84,67.8006,130.4114,251.77,1.22
374,sechura,100,PE,1615180562,71,-5.5569,-80.8222,297.98,2.93
375,paita,99,PE,1615180562,77,-5.0892,-81.1144,297.6,4.86
376,ojinaga,1,MX,1615180562,39,29.5667,-104.4167,290.15,4.12
377,savannah bight,78,HN,1615180563,89,16.45,-85.85,298.71,2.24
378,cloquet,1,US,1615180274,75,46.7216,-92.4594,279.15,4.12
379,padang,40,ID,1615180563,74,-0.9492,100.3543,302.15,2.57
380,bengkulu,100,ID,1615180285,77,-3.8004,102.2655,300.8,5.08
381,djibo,14,BF,1615180563,17,14.1022,-1.6306,300.02,3.29
382,ugoofaaru,68,MV,1615180563,68,5.6667,73.0,301.49,4.33
383,arlit,0,NE,1615180563,18,18.7369,7.3853,297.37,4.33
384,yar-sale,100,RU,1615180564,86,66.8333,70.8333,242.05,4.58
385,yerbogachen,94,RU,1615180564,94,61.2767,108.0108,264.69,6.73
386,jalu,0,LY,1615180564,35,29.0331,21.5482,287.96,2.67
387,nenjiang,29,CN,1615180564,96,49.1833,125.2167,269.59,5.17
388,anadyr,75,RU,1615180564,77,64.75,177.4833,251.15,6.0
389,dicabisagan,2,PH,1615180565,56,17.0818,122.4157,301.27,3.75
390,lexington,1,US,1615180545,59,37.9887,-84.4777,272.59,1.54
391,vardo,40,NO,1615180565,85,70.3705,31.1107,261.15,2.06
392,stornoway,75,GB,1615180565,93,58.2093,-6.3865,280.15,4.12
393,yaya,100,RU,1615180565,96,56.206,86.44,270.58,7.04
394,camacari,40,BR,1615180565,74,-12.6975,-38.3242,300.15,5.66
